game_id,name,release_date,release_year,total_reviews,positive_percent,developer,publisher,genres,tags,platforms,current_price,discounted_price,discount_percent
2074920,The First Descendant,"30 Jun, 2024",2024,103811,56,,,,,,Free To Play,Free To Play,
2404880,Car Dealer Simulator,"29 May, 2025",2025,1684,82,,,"Casual, Indie, Simulation",Casual;Indie;Simulation,Windows,$5.73 USD,$5.73 USD,
3337140,After Inc: Revival,"17 Jun, 2025",2025,61,80,,,"Simulation, Strategy, Early Access",Simulation;Strategy;Early Access,Windows,$9.29,$7.43 USD,-20%
371970,Barony,"23 Jun, 2015",2015,7496,92,,,"Action, Adventure, Indie, RPG",Action;Adventure;Indie;RPG,"Linux, Mac, Windows",$10.49,$5.24 USD,-50%
648800,Raft,"20 Jun, 2022",2022,296004,93,,,"Adventure, Indie, Simulation",Adventure;Indie;Simulation,Windows,$19.99 USD,$19.99 USD,
3570290,theHunter: Call of the Wild™ - Alberta Hunting Preserve,"17 Jun, 2025",2025,55,76,,,"Adventure, Simulation, Sports",Adventure;Simulation;Sports,Windows,$6.59,$5.60 USD,-15%
2066020,Soulstone Survivors,"17 Jun, 2025",2025,21147,91,,,"Action, Indie, RPG",Action;Indie;RPG,"Linux, Mac, Windows",$7.99,$5.19 USD,-35%
2300320,Farming Simulator 25,"12 Nov, 2024",2024,21991,83,,,Simulation,Simulation,"Mac, Windows",$36.49 USD,$36.49 USD,
813780,Age of Empires II: Definitive Edition,"14 Nov, 2019",2019,142525,94,,,Strategy,Strategy,Windows,$19.99 USD,$19.99 USD,
1190000,Car Mechanic Simulator 2021,"11 Aug, 2021",2021,28732,96,,,"Racing, Simulation",Racing;Simulation,Windows,$12.49,$3.62 USD,-71%
1466860,Age of Empires IV: Anniversary Edition,"28 Oct, 2021",2021,61122,86,,,Strategy,Strategy,Windows,$19.99 USD,$19.99 USD,
3174190,Karos - Endless performance,"20 Sep, 2024",2024,0,0,,,"Massively Multiplayer, RPG, Free To Play",Massively Multiplayer;RPG;Free To Play,Windows,$169.99 USD,$169.99 USD,
291550,Brawlhalla,"17 Oct, 2017",2017,387272,81,,,"Action, Indie, Free To Play",Action;Indie;Free To Play,"Mac, Windows",Free To Play,Free To Play,
255710,Cities: Skylines,"10 Mar, 2015",2015,206948,92,,,"Simulation, Strategy",Simulation;Strategy,"Linux, Mac, Windows",$17.99 USD,$17.99 USD,
2778580,ELDEN RING Shadow of the Erdtree,"21 Jun, 2024",2024,80796,71,,,,,,Free To Play,Free To Play,
2104890,RoadCraft,"20 May, 2025",2025,7417,74,,,"Adventure, Simulation",Adventure;Simulation,Windows,$27.99 USD,$27.99 USD,
325610,Total War: ATTILA,"17 Feb, 2015",2015,24951,82,,,Strategy,Strategy,"Linux, Windows",$20.99,$4.19 USD,-80%
1119730,"Ranch Simulator: Build, Hunt, Farm","3 Nov, 2023",2023,30292,80,,,,,,,,
714210,Zula Türkiye,"11 Jan, 2018",2018,17537,48,,,"Action, Adventure, Casual, Massively Multiplayer, Free To Play",Action;Adventure;Casual;Massively Multiplayer;Free To Play,Windows,Free To Play,Free To Play,
2918150,ONE PIECE Bounty Rush,"24 Sep, 2024",2024,2741,67,,,,,,,,
2054970,Dragon's Dogma 2,"22 Mar, 2024",2024,70523,61,,,,,,Free To Play,Free To Play,
1599340,Lost Ark,"12 Feb, 2022",2022,202084,70,,,,,,Free To Play,Free To Play,
2358720,Black Myth: Wukong,"20 Aug, 2024",2024,836553,96,,,,,,Free To Play,Free To Play,
2531310,The Last of Us™ Part II Remastered,"3 Apr, 2025",2025,16152,90,,,,,,Free To Play,Free To Play,
3244010,Shadowverse: Worlds Beyond-Deckboost Bundle,"17 Jun, 2025",2025,0,0,,,"Casual, RPG, Strategy",Casual;RPG;Strategy,Windows,$39.99 USD,$39.99 USD,
1321450,American Theft 80s,"15 Jun, 2022",2022,840,75,,,"Action, Adventure, Indie, Simulation",Action;Adventure;Indie;Simulation,Windows,$10.49,$1.67 USD,-84%
1085660,Destiny 2,"1 Oct, 2019",2019,626320,79,,,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Windows,Free To Play,Free To Play,
264710,Subnautica,"24 Jan, 2018",2018,283787,97,,,"Adventure, Indie",Adventure;Indie,"Mac, Windows",$20.99,$14.06 USD,-33%
2507950,Delta Force,"5 Dec, 2024",2024,115684,63,,,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Windows,Free To Play,Free To Play,
457140,Oxygen Not Included,"30 Jul, 2019",2019,120939,96,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$7.99,$2.39 USD,-70%
427520,Factorio,"14 Aug, 2020",2020,171999,97,,,"Casual, Indie, Simulation, Strategy",Casual;Indie;Simulation;Strategy,"Linux, Mac, Windows",Factorio Demo,Factorio Demo,
1284210,Guild Wars 2,"23 Aug, 2022",2022,21749,88,,,"Adventure, Massively Multiplayer, RPG, Free To Play",Adventure;Massively Multiplayer;RPG;Free To Play,Windows,Free To Play,Free To Play,
1677280,Company of Heroes 3,"23 Feb, 2023",2023,19611,59,,,,,,Free To Play,Free To Play,
1091500,Cyberpunk 2077,"10 Dec, 2020",2020,752037,85,,,,,,Free To Play,Free To Play,
1364780,Street Fighter™ 6,"2 Jun, 2023",2023,36060,84,,,"Action, Adventure",Action;Adventure,Windows,$29.99 USD,$29.99 USD,
631510,Devil May Cry HD Collection,"13 Mar, 2018",2018,12720,93,,,,,,Free To Play,Free To Play,
108600,Project Zomboid,"8 Nov, 2013",2013,288422,94,,,"Indie, RPG, Simulation, Early Access",Indie;RPG;Simulation;Early Access,"Linux, Mac, Windows",$10.49 USD,$10.49 USD,
3263320,Carry The Glass,"24 Oct, 2024",2024,1621,77,,,"Adventure, Casual, Indie, Simulation",Adventure;Casual;Indie;Simulation,Windows,$2.99 USD,$2.99 USD,
949230,Cities: Skylines II,"24 Oct, 2023",2023,51620,53,,,Simulation,Simulation,Windows,$29.99 USD,$29.99 USD,
2102730,Dead by Daylight - Resident Evil: PROJECT W Chapter,"30 Aug, 2022",2022,931,84,,,,,,Free To Play,Free To Play,
2201320,Date Everything!,"17 Jun, 2025",2025,144,97,,,Simulation,Simulation,Windows,$19.99 USD,$19.99 USD,
2772750,Age of History 3,"23 Oct, 2024",2024,12568,87,,,"Simulation, Strategy",Simulation;Strategy,"Mac, Windows",,$7.30 USD,
880940,Pummel Party,"20 Sep, 2018",2018,42861,89,,,"Action, Casual, Indie",Action;Casual;Indie,Windows,$7.99 USD,$7.99 USD,
767560,War Robots,"4 Apr, 2018",2018,26699,60,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
2248760,Car For Sale Simulator 2023,"1 Nov, 2024",2024,17753,80,,,"Indie, Simulation",Indie;Simulation,Windows,$17.53 USD,$13.59 USD,-22%
4700,Total War: MEDIEVAL II – Definitive Edition,"28 Nov, 2007",2007,24927,95,,,Strategy,Strategy,"Linux, Mac, Windows",$19.99,$3.99 USD,-80%
756800,Contraband Police,"8 Mar, 2023",2023,19894,94,,,,,,,,
1151340,Fallout 76,"14 Apr, 2020",2020,66451,75,,,,,,,,
2001120,Split Fiction,"6 Mar, 2025",2025,52261,97,,,"Action, Adventure",Action;Adventure,Windows,$49.99 USD,$49.99 USD,
412020,Metro Exodus,"14 Feb, 2020",2020,105114,89,,,Action,Action,"Linux, Mac, Windows",$22.99,$4.59 USD,-80%
686810,Hell Let Loose,"27 Jul, 2021",2021,90696,84,,,"Action, Indie, Massively Multiplayer, Simulation, Strategy",Action;Indie;Massively Multiplayer;Simulation;Strategy,Windows,$23.99,$11.99 USD,-50%
235460,METAL GEAR RISING: REVENGEANCE,"9 Jan, 2014",2014,65155,96,,,,,,Free To Play,Free To Play,
2604420,Euro Truck Simulator 2 - Greece,"4 Dec, 2024",2024,1076,88,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$6.05 USD,$6.05 USD,
2004210,Euro Truck Simulator 2 - West Balkans,"19 Oct, 2023",2023,1631,84,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$9.08 USD,$9.08 USD,
2780980,LOCKDOWN Protocol,"22 Jul, 2024",2024,12465,87,,,"Action, Casual, Indie, Strategy, Early Access",Action;Casual;Indie;Strategy;Early Access,Windows,$5.79 USD,$5.79 USD,
3103150,Dead by Daylight - Castlevania Chapter,"27 Aug, 2024",2024,488,85,,,,,,Free To Play,Free To Play,
