game_id,owners,average_forever,average_2weeks,median_forever,median_2weeks,players_forever,players_2weeks,price,initialprice,discount,ccu,followers
1466860,"2,000,000 .. 5,000,000",3911,576,860,480,,,3999.0,3999.0,0.0,7084,
1527950,"1,000,000 .. 2,000,000",2966,571,1449,1142,,,1749.0,3499.0,50.0,1632,
3474740,"0 .. 20,000",0,0,0,0,,,4999.0,4999.0,0.0,0,
1466060,"200,000 .. 500,000",1323,1259,1020,1393,,,4499.0,4499.0,0.0,8175,
1063730,"50,000,000 .. 100,000,000",8952,410,3233,440,,,5999.0,5999.0,0.0,5583,
1238840,"5,000,000 .. 10,000,000",2226,237,517,105,,,3999.0,3999.0,0.0,6308,
3097560,"2,000,000 .. 5,000,000",225,85,162,63,,,699.0,699.0,0.0,605,
949230,"2,000,000 .. 5,000,000",3791,585,1495,377,,,4999.0,4999.0,0.0,5392,
1174180,"10,000,000 .. 20,000,000",4443,594,1829,197,,,5999.0,5999.0,0.0,29885,
2300320,"1,000,000 .. 2,000,000",4780,723,2741,576,,,4999.0,4999.0,0.0,13431,
1934680,"500,000 .. 1,000,000",1077,192,519,301,,,2399.0,2999.0,20.0,1559,
1608230,"200,000 .. 500,000",294,0,254,0,,,499.0,1999.0,75.0,8,
1449110,"0 .. 20,000",0,0,0,0,,,,,,0,
1938090,"50,000,000 .. 100,000,000",4849,597,516,222,,,3849.0,6999.0,45.0,67419,
2878960,"50,000 .. 100,000",4110,363,1419,240,,,4199.0,5999.0,30.0,965,
2004210,"0 .. 20,000",0,0,0,0,,,1799.0,1799.0,0.0,0,
1407200,"1,000,000 .. 2,000,000",1686,1114,92,950,,,0.0,0.0,0.0,3869,
1623730,"50,000,000 .. 100,000,000",3434,536,2055,131,,,2999.0,2999.0,0.0,18028,
2778580,"0 .. 20,000",0,0,0,0,,,3999.0,3999.0,0.0,0,
435150,"5,000,000 .. 10,000,000",4388,559,2064,522,,,1349.0,4499.0,70.0,3510,
2479810,"2,000,000 .. 5,000,000",2282,1029,652,689,,,3999.0,3999.0,0.0,7543,
221040,"2,000,000 .. 5,000,000",1057,217,518,263,,,499.0,1999.0,75.0,515,
2958130,"0 .. 20,000",0,0,0,0,,,5999.0,5999.0,0.0,0,
1941540,"0 .. 20,000",0,0,0,0,,,4999.0,4999.0,0.0,0,
813780,"2,000,000 .. 5,000,000",3340,399,802,191,,,3499.0,3499.0,0.0,13465,
2784470,"200,000 .. 500,000",492,442,409,351,,,1499.0,1499.0,0.0,6920,
1237950,"2,000,000 .. 5,000,000",1312,331,548,173,,,3999.0,3999.0,0.0,9213,
3203390,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
2379780,"2,000,000 .. 5,000,000",2154,274,1137,112,,,1499.0,1499.0,0.0,17123,
880940,"2,000,000 .. 5,000,000",713,202,452,247,,,1499.0,1499.0,0.0,1096,
447040,"2,000,000 .. 5,000,000",2435,520,619,522,,,749.0,4999.0,85.0,863,
1966720,"10,000,000 .. 20,000,000",1329,158,686,107,,,999.0,999.0,0.0,6199,
9900,"2,000,000 .. 5,000,000",6800,1597,326,3128,,,0.0,0.0,0.0,1057,
339340,"1,000,000 .. 2,000,000",631,23,250,23,,,499.0,1999.0,75.0,83,
1056760,"0 .. 20,000",0,0,0,0,,,1799.0,1799.0,0.0,0,
444200,"10,000,000 .. 20,000,000",8937,1353,234,647,,,0.0,0.0,0.0,5707,
1284190,"1,000,000 .. 2,000,000",1695,757,1131,921,,,2399.0,2399.0,0.0,7330,
2183900,"5,000,000 .. 10,000,000",1891,343,872,143,,,5999.0,5999.0,0.0,6851,
208650,"2,000,000 .. 5,000,000",2115,972,596,953,,,399.0,1999.0,80.0,1587,
105600,"20,000,000 .. 50,000,000",7631,650,1942,204,,,999.0,999.0,0.0,24580,
386180,"5,000,000 .. 10,000,000",2801,171,206,83,,,0.0,0.0,0.0,2231,
108600,"10,000,000 .. 20,000,000",3418,362,790,132,,,1999.0,1999.0,0.0,22864,
529340,"1,000,000 .. 2,000,000",5943,432,1365,429,,,4999.0,4999.0,0.0,4609,
2008610,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
1583320,"200,000 .. 500,000",2061,188,300,162,,,999.0,999.0,0.0,690,
218620,"20,000,000 .. 50,000,000",9733,5532,546,4583,,,329.0,999.0,67.0,27254,
2248760,"200,000 .. 500,000",845,0,627,0,,,1624.0,2499.0,35.0,220,
648800,"10,000,000 .. 20,000,000",1515,324,881,239,,,1999.0,1999.0,0.0,4701,
2495100,"100,000 .. 200,000",1654,293,1250,390,,,3199.0,3999.0,20.0,1129,
1677110,"200,000 .. 500,000",600,808,619,808,,,1499.0,2499.0,40.0,732,
255710,"10,000,000 .. 20,000,000",3590,371,853,76,,,2999.0,2999.0,0.0,8842,
1190970,"200,000 .. 500,000",2041,414,1076,491,,,3999.0,3999.0,0.0,2543,
1203220,"10,000,000 .. 20,000,000",8312,511,339,294,,,0.0,0.0,0.0,66954,
632470,"2,000,000 .. 5,000,000",881,199,326,134,,,999.0,3999.0,75.0,918,
3240220,"5,000,000 .. 10,000,000",1010,498,259,148,,,2999.0,2999.0,0.0,39502,
281990,"2,000,000 .. 5,000,000",7727,833,1489,513,,,3999.0,3999.0,0.0,13727,
1118010,"0 .. 20,000",0,0,0,0,,,999.0,3999.0,75.0,0,
393380,"2,000,000 .. 5,000,000",7010,645,923,219,,,4999.0,4999.0,0.0,9116,
1057090,"2,000,000 .. 5,000,000",818,556,662,685,,,989.0,2999.0,67.0,697,
3121110,"200,000 .. 500,000",130,60,124,75,,,400.0,400.0,0.0,49,
281990,"2,000,000 .. 5,000,000",7727,833,1489,513,,,3999.0,3999.0,0.0,13727,
1118010,"0 .. 20,000",0,0,0,0,,,999.0,3999.0,75.0,0,
393380,"2,000,000 .. 5,000,000",7010,645,923,219,,,4999.0,4999.0,0.0,9116,
1057090,"2,000,000 .. 5,000,000",818,556,662,685,,,989.0,2999.0,67.0,697,
1222670,"10,000,000 .. 20,000,000",1551,250,194,110,,,0.0,0.0,0.0,25276,
39210,"2,000,000 .. 5,000,000",24382,1836,2691,1245,,,1999.0,1999.0,0.0,19824,
203140,"2,000,000 .. 5,000,000",901,52,391,100,,,199.0,1999.0,90.0,618,
1182900,"500,000 .. 1,000,000",650,0,620,0,,,1749.0,4999.0,65.0,136,
2537590,"100,000 .. 200,000",3175,239,1783,328,,,6999.0,6999.0,0.0,1622,
1672210,"0 .. 20,000",0,0,0,0,,,99.0,499.0,80.0,0,
1583230,"500,000 .. 1,000,000",441,33,222,54,,,1999.0,3999.0,50.0,299,
578650,"1,000,000 .. 2,000,000",1466,140,949,150,,,989.0,2999.0,67.0,150,
1604030,"5,000,000 .. 10,000,000",2752,520,1253,345,,,3499.0,3499.0,0.0,10961,
270880,"2,000,000 .. 5,000,000",3481,416,855,300,,,1999.0,1999.0,0.0,6742,
1364780,"2,000,000 .. 5,000,000",5717,545,1556,222,,,3999.0,3999.0,0.0,14920,
1599340,"50,000,000 .. 100,000,000",5284,2977,773,4146,,,0.0,0.0,0.0,17355,
2138330,"0 .. 20,000",0,0,0,0,,,2999.0,2999.0,0.0,0,
361420,"2,000,000 .. 5,000,000",2182,279,861,390,,,2999.0,2999.0,0.0,988,
1331550,"500,000 .. 1,000,000",1134,147,578,147,,,1839.0,2299.0,20.0,460,
